 request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Postman-Token:a1ccbb6e-b455-45b6-8f90-d3ac7cd836ae,Host:localhost:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel, 
request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Postman-Token:5aead3a4-04d3-4e2a-b871-5eff07ae97a2,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel, 
request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,Postman-Token:530da1a2-e2b7-413f-a9c4-2f8844f6f9a7,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel, 
request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Postman-Token:41f9eec9-bf3c-471e-ba2a-af82ffbd388e,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel, 
request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Postman-Token:96531436-55aa-44c4-9bb1-c893de517735,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel, request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,Postman-Token:af978775-788a-4ff1-b68f-e5878ac1d285,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel,
 request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,Postman-Token:a74525e9-56ee-4b17-80a1-0d8aada043f3,} param: name=samuel,
 request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,Postman-Token:2ba10766-4487-445e-b9c9-a3453b398a3a,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel,
 request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Postman-Token:f6e18045-970b-49c3-afff-018a423f0de7,Host:localhost:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel,
 request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:localhost:9001,Postman-Token:56314f71-ddbf-497f-8965-13446f71d63a,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel,
 request url: /nacos-consumer/hello, method: GET, header { Accept:*/*,Host:127.0.0.1:9001,Postman-Token:833792fb-a53e-46ff-aac8-8947f9844523,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel,
 request url: /consumer/nacos-consumer/hello, method: GET, header { Accept:*/*,Postman-Token:38a0a4d4-4062-4a09-a5cf-3ba2a3070a65,Host:127.0.0.1:9001,Accept-Encoding:gzip, deflate, br,Connection:keep-alive,User-Agent:PostmanRuntime/7.26.1,Cache-Control:no-cache,} param: name=samuel,
